date;heure;PM10;NO2
;;microg/m3;microg/m3
05/03/2011;8;105;80
05/03/2011;9;106;81
05/03/2011;10;106;80
05/03/2011;11;114;83
05/03/2011;12;123;83
05/03/2011;13;116;77
05/03/2011;14;118;82
05/03/2011;15;120;84
05/03/2011;16;107;96
05/03/2011;17;86;106
05/03/2011;18;69;108
05/03/2011;19;61;86
05/03/2011;20;48;94
05/03/2011;21;46;85
05/03/2011;22;48;80
05/03/2011;23;39;79
05/03/2011;24;37;71
06/03/2011;1;32;66
06/03/2011;2;30;58
06/03/2011;3;28;49
06/03/2011;4;36;45
06/03/2011;5;40;40
06/03/2011;6;45;41
06/03/2011;7;46;46
06/03/2011;8;51;38
06/03/2011;9;42;50
06/03/2011;10;38;51
06/03/2011;11;50;52
06/03/2011;12;48;60
06/03/2011;13;46;57
06/03/2011;14;37;58
06/03/2011;15;35;64
06/03/2011;16;33;71
06/03/2011;17;31;81
06/03/2011;18;32;89
06/03/2011;19;31;83
06/03/2011;20;35;90
06/03/2011;21;41;76
06/03/2011;22;40;75
06/03/2011;23;37;65
06/03/2011;24;41;57
07/03/2011;1;34;54
07/03/2011;2;33;46
07/03/2011;3;30;41
07/03/2011;4;29;42
07/03/2011;5;26;43
07/03/2011;6;29;71
07/03/2011;7;35;95
07/03/2011;8;45;102
07/03/2011;9;53;103
07/03/2011;10;n/d;n/d
07/03/2011;11;n/d;n/d
07/03/2011;12;n/d;n/d
07/03/2011;13;n/d;n/d
07/03/2011;14;n/d;n/d
07/03/2011;15;n/d;n/d
07/03/2011;16;57;n/d
07/03/2011;17;52;n/d
07/03/2011;18;54;n/d
07/03/2011;19;n/d;n/d
07/03/2011;20;n/d;n/d
07/03/2011;21;54;n/d
07/03/2011;22;54;n/d
07/03/2011;23;48;n/d
07/03/2011;24;46;n/d
08/03/2011;1;32;n/d
08/03/2011;2;35;n/d
08/03/2011;3;38;n/d
08/03/2011;4;41;n/d
08/03/2011;5;39;n/d
08/03/2011;6;45;n/d
08/03/2011;7;60;n/d
08/03/2011;8;81;n/d
08/03/2011;9;98;n/d
08/03/2011;10;116;n/d
08/03/2011;11;101;n/d
08/03/2011;12;67;n/d
08/03/2011;13;64;n/d
08/03/2011;14;55;n/d
08/03/2011;15;60;n/d
08/03/2011;16;70;n/d
08/03/2011;17;68;n/d
08/03/2011;18;61;n/d
08/03/2011;19;57;n/d
08/03/2011;20;64;n/d
08/03/2011;21;70;n/d
08/03/2011;22;61;n/d
08/03/2011;23;59;n/d
08/03/2011;24;50;n/d
09/03/2011;1;47;n/d
09/03/2011;2;43;n/d
09/03/2011;3;41;n/d
09/03/2011;4;39;n/d
09/03/2011;5;38;n/d
09/03/2011;6;47;n/d
09/03/2011;7;52;n/d
09/03/2011;8;62;n/d
09/03/2011;9;72;n/d
09/03/2011;10;76;n/d
09/03/2011;11;63;n/d
09/03/2011;12;58;n/d
09/03/2011;13;52;n/d
09/03/2011;14;52;n/d
09/03/2011;15;49;n/d
09/03/2011;16;53;n/d
09/03/2011;17;56;n/d
09/03/2011;18;56;n/d
09/03/2011;19;45;n/d
09/03/2011;20;33;n/d
09/03/2011;21;24;n/d
09/03/2011;22;24;n/d
09/03/2011;23;22;n/d
09/03/2011;24;30;n/d
10/03/2011;1;23;n/d
10/03/2011;2;26;n/d
10/03/2011;3;22;n/d
10/03/2011;4;21;n/d
10/03/2011;5;20;n/d
10/03/2011;6;33;n/d
10/03/2011;7;40;n/d
10/03/2011;8;36;n/d
10/03/2011;9;43;n/d
10/03/2011;10;49;n/d
10/03/2011;11;44;n/d
10/03/2011;12;n/d;n/d
10/03/2011;13;n/d;n/d
10/03/2011;14;n/d;n/d
10/03/2011;15;n/d;n/d
10/03/2011;16;n/d;n/d
10/03/2011;17;n/d;n/d
10/03/2011;18;n/d;n/d
10/03/2011;19;n/d;n/d
10/03/2011;20;n/d;n/d
10/03/2011;21;n/d;n/d
10/03/2011;22;n/d;n/d
10/03/2011;23;n/d;n/d
10/03/2011;24;n/d;n/d
11/03/2011;1;n/d;n/d
11/03/2011;2;n/d;n/d
11/03/2011;3;n/d;n/d
11/03/2011;4;n/d;n/d
11/03/2011;5;n/d;n/d
11/03/2011;6;n/d;n/d
11/03/2011;7;n/d;n/d
11/03/2011;8;n/d;n/d
11/03/2011;9;n/d;n/d
11/03/2011;10;n/d;n/d
11/03/2011;11;n/d;n/d
11/03/2011;12;n/d;n/d
11/03/2011;13;n/d;n/d
11/03/2011;14;n/d;n/d
11/03/2011;15;n/d;n/d
11/03/2011;16;n/d;n/d
11/03/2011;17;n/d;n/d
11/03/2011;18;n/d;n/d
11/03/2011;19;n/d;n/d
11/03/2011;20;n/d;n/d
11/03/2011;21;n/d;n/d
11/03/2011;22;n/d;n/d
11/03/2011;23;n/d;n/d
11/03/2011;24;n/d;n/d
12/03/2011;1;n/d;n/d
12/03/2011;2;n/d;n/d
12/03/2011;3;n/d;n/d
12/03/2011;4;n/d;n/d
12/03/2011;5;n/d;n/d
12/03/2011;6;n/d;n/d
12/03/2011;7;n/d;n/d
12/03/2011;8;n/d;n/d
12/03/2011;9;n/d;n/d
12/03/2011;10;n/d;n/d
12/03/2011;11;n/d;n/d
12/03/2011;12;n/d;n/d
12/03/2011;13;n/d;n/d
12/03/2011;14;n/d;n/d
12/03/2011;15;n/d;n/d
12/03/2011;16;n/d;n/d
12/03/2011;17;n/d;n/d
12/03/2011;18;n/d;n/d
12/03/2011;19;n/d;n/d
12/03/2011;20;n/d;n/d
12/03/2011;21;n/d;n/d
12/03/2011;22;n/d;n/d
12/03/2011;23;n/d;n/d
12/03/2011;24;n/d;n/d
13/03/2011;1;n/d;n/d
